image_id,id,caption
176943,266985,A building light built on to the outside wall.
92217,620482,"An apple laptop with pens, headphones, books and various small items."
172163,812132,A black and white cat is playing on the floor with a stuffed toy.
347346,43868,A man is sitting in a chair and reading.
426930,239737,A surfer is walking across the shore behind two other people.
50948,243827,Zebra standing in the shade between some trees. 
305425,317891,A view of people holding umbrellas walking through a market.
55527,672164,"A bedroom with a guitar, bookshelf, and a bed."
337007,545887,The colorful vase is full of blooming flowers.
192835,357238,The man sits on the couch with a laptop in his hand. 
400307,1470,A company truck waiting in the road near the sidewalk.
356513,297403,A field with horses and a dog in the distance 
63035,801657,a close up of a traffic light with a building in the background 
198832,318312,A zebra on grass area with trees in the background.
477079,391198,Two men in the air on a tennis court
509555,103694,"A unfinished wooden table with bottles of beer, glasses and candles."
519528,795451,Duck standing in grass on shore near pond. 
165463,138446,A rustic pier with several fisherman attending to a boat
237129,437205,a person throwing a ball at a baseball player
459078,689033,A man in a grey baseball uniform carrying a bat on field.
74663,183978,Two large giraffes standing on opposite sides of a fence.
527571,13261,A fruit bowl with some bananas and apples in it
123614,316419,A man walking across a field holding a baseball bat.
176038,626630,"Pizza, beer, and soda are on a table with a paper tablecloth. "
324893,667173,"A tray with a meaty sandwich, pickles and mustard on it."
448303,692673,A woman who is skiing down a snowy hill.
210258,607179,the person is on a boat in a lake
430928,773251,An airport tarmac filled with lots of jets and vehicles.
478675,646857,a man holding onto a cat and a plant
479394,629727,A toilet with a wooden lid is painted blue.
218863,801654,a shelf of stuffed teddy bears dressed in black clothes
313047,286003,A man standing behind a piano keyboard near a window.
461445,55546,A group of livestock are grazing in bright green grass.
550118,402084,A television with a handwritten sign on it.
335093,810871,"A small living room with a coffee table, futon and bookshelf."
317587,566086,a small boy in a white shirt and a rug
203492,669285,"A bathroom with an open toilet seat, a counter top and towels on a rack has a tile floor."
166356,690786,a rainbow in the sky next to a stop sign 
359949,505780,A hawk with outstretched wings flies over a wooded hillside.
554643,617759,some surfers and a bird water on a sunny day
181503,137148,A wooden table topped with pizza and greens 
435686,623017,A herd of giraffe walking across a grass covered field.
66707,272090,A person riding a wave on a surfboard.
184184,453595,"A bowl of Chinese food, with silverware, and a cup of water. "
572795,703778,A laptop computer sitting next to a computer mouse.
450551,537090,Three giraffes that are standing up near each other.
15733,37122,A surfer falling off his board int o the ocean
333133,722558,Two bulls are grazing in the grass together.
400619,770457,"A small bathroom with shower, commode and sink under a large mirror."
491505,626227,The bear and the man are facing each other.  
554770,804421,A small fridge open with food assortments such as milk. 
369726,83387,A teacher is passing out food to her students.
395840,360757,In the dark a cell phone is glowing blue and green.
220076,730584,The woman in glasses is drinking a cup of liquid. 
142806,401533,A room that has a black coffee table.
355462,163012,a parking meter with a black vehicle behind it
262951,603162,A slew of kites being flown in the air over a beach.
260360,522770,A computer desk setup with dual monitors and keyboards. 
562527,3502,An empty gazebo in front of a large white church.
356147,671361,A pair of elephants transporting people through a river.
180587,573543,a man is outside playing tennis in the dirt
356107,192181,A silver passenger train traveling down train tracks.
52288,181398,A field full of people flying kites. in a blue sky.
5669,736947,A stop sign that is almost buried in the snow.
521881,791082,A little yellow bird standing on a tree limb.
130625,543174,A pile of dough sitting on cookie sheet sitting in front of a oven.
281323,587550,Two sheep graze on grass on a steep hill.
354655,386208,A policeman in neon colors drives his motorcycle in traffic.
307831,468263,Young giraffe with adult giraffe in the background.  
441172,356535,Woman with an umbrella walking down the sidewalk
182125,26633,a person riding asurf board on a large body of water
309915,179389,A man holding a baseball bat near  home plate.
303570,683377,there is a man that is holding up a cell phone
525716,423040,A cat that is laying down with a mouse on top of it.
60425,193009,A group of people are getting ready to cut a cake.
14244,361820,A skateboarder jumps and clears a white fire hydrant.
235471,280576,A restaurant with a wrap around veranda in a yacht marina
285550,466746,there is a boat that is lifted above the water
49187,80915,A black sheep standing in a grass land.
556823,558049,"A cafeteria meal of salad, vegetable pizza and apple juice on a plastic tray"
294829,402373,a black and silver motorcycle is parked and its side car
248355,727698,A woman stands alone at a bus stop.
129719,81616,Bird with yellow wings and white belly sits atop large tree leaf
381069,161720,"A black and white photo of people, horses, and buggies in front of a house."
562433,746692,A living room is lit by open window curtains.
392105,210148,A red train is going down the tracks.
110060,10984,A snowboarder is completely surrounded by white snow.
348019,291000,A stop sign that has been vandalized to reference Harry Potter.
131075,568404,A computer sitting on a desk with the monitor turned on.
505643,709572,A woman prepares to hit the ball during a match.
24238,279550,"A plate of food with onions, tomato sauce, and green peppers."
73610,329819,A dog on a counter by a standing man.
461447,508148,A young man next to his kit robot that has a phone on it.
140976,716945,An antique metal model airplane on a table.
535524,332187,An elephant under trees in the night time
187728,77737,A large clock in roman numerals on a ledge
213577,493556,two men standing by the net while holding tennis rackets 
478445,459719,there is a man that seems to be happy that he scored
386979,516539,A plate that has a pizza sitting on top of it.
284144,160861,a person shopping in a wine store with tiled floors
334208,142377,The fruits and vegetables are neatly arranges over the wicker surface.
73146,443994,A light rail train is coming down the track.
248417,1821,A person stands alone cooking in a kitchen
163485,617241,The girl is proud of her elaborate motorcycle.
502529,533177,A grilled sandwich on top of a plate next to fries.
59918,622678,"A kitchen with a dishwasher, sink and counter top."
309710,62603,Several sinks are lined up against a wall. 
467180,825489,A picture of a public restroom with tiles.
443883,319060,There are cows sitting on a field of grass.
433133,36596,one slice of pepperoni pizza and a coke can
246434,602127,A man in white shirt at table with notebook and laptop.
496089,584001,A plate with meat covered in gravy and veggies.
467502,815264,A herd of zebra eating hay from a muddy field.
244361,89378,A man getting ready to take a bite out of a burger.
182212,582737,An enclosed building with pieces of wood and a old toilet in it.
125351,684068,Dog skateboarding on a city street next to a woman
142996,633941,a beach next to an ocean with a bird flying above
350272,279762,A person standing on home base getting ready to hit a ball.
568171,343389,A yellow tabby cat on a table by a red cop.
479621,165064,"The man, the young girl, and dog are on the surfboard."
231632,688238,A stairway with random items leaning against a rail.
73814,295135,A man is on the base while a catcher has his mitt up.
436318,36326,A plane flies in the air above trees.
560172,757572,A variety of pizzas on display at a pizza shop.
16334,148559,A small cake sits on a glass plate.
563404,595026,A bathroom with a large bathtub and slate floors
171959,176373,While a couple are riding horses one horse tucks his head town.
44611,366857,A crowd watches as the attendants walk with horses.
364806,204244,Two boats sitting next to each other on the ocean. 
68293,429102,A small green bird sits on a tree branch.
488120,561082,A commercial airplane flying in an overly blue cloudy sky
505796,295036,An elephant with tusks is tied to a chain.
190413,255682,A clean room with furniture and a sunroof
235259,115283,A christmas tray with dancing santas and candy canes
146256,705910,elephant sitting upright on a stool entertaining crowd
553796,323483,A group of people sitting on a bus.
90464,701794,A couple of men in red shirts are playing tennis.
9648,2306,Santa riding a motorcycle down a local street
403853,285142,A man riding on the back of a brown horse.
352208,293807,an image of flowers being held in a vase
106875,412817,a old grandfather clock sitting in the forest
264551,591390,Two men pose in front of some tennis courts.
91055,74131,A pair of adults showing a child an animal.
113391,650121,A cozy den is home to a computer work space and small bookshelf.
371258,277743,a cat laying on top of some luggage. 
106010,209414,A child in grey snowsuit on skis in front of lodge.
279990,683372,A display of nature-related objects are sitting in the middle of the table.
472022,303473,"Eggs, toast and ham are on a white and gold plate next to a cup of coffee."
193469,335591,there is a small red and white army plane at a field
310360,569420,A woman playing a game on the Wii.
268231,758409,a zebra stands on the grass next to a rock 
354309,498442,There is an adult handing a slice of cake to a kid.
193647,438487,Two guys are having fun while playing the Wii. 
35316,632638,A young man dressed in a suit and tie.
231102,309023,A desk with a laptop computer and printing equipment.
220205,35452,A click sitting on top of a building underneath two massive chandelier.
440827,29562,"A large bathroom with marble floor, counter, and bath."
52131,347702,"A salad, a cup of coffee, reading glasses and an open newspaper."
86344,226257,Two people fly a kite very high on a clear day.
249616,432078,A couch and a coffee table is in a living room with a wooden floor. 
381595,262634,A white toilet sitting in a bathroom next to a window.
331868,327980,a wooden dinette set next to a window with a red curtain 
556851,672962,Surfers riding waves near a rocky cliff face.
149763,730880,a number of giraffes near one another behind a fence 
415235,199134,A young man with two cattle riding them.
574942,27946,A large polar bear feasting on a dead rat.
312242,258563,A bird sits on top of a white and grayish cow.
362365,138478,A adult black bear is sitting looking at something
527858,58350,Picture of a grey haired man standing behind a cord.
288827,710707,a large flock of birds flying over a body of water.
372554,467466,A very large blowup kite of an orange octopus 
393419,173808,a street sign of a man asking a woman to get married
368132,114423,"A lady shows off her cute puppy, relaxing in her carry-bag. "
423988,435457,two people on a city street close together
413222,488019,An informational street sign for a winery and estate in Italy
347811,734176,A herd of elephants standing on top of a green field.
544691,171332,A stall and its corresponding squat toilet with foot grips
6253,215533,A group of people standing together holding luggage.
207360,320383,The man and the woman are looking at their cell phones.
504524,244075,a very big sign showing that no way
572245,36507,A hotdog with no condiments except sour kraut. 
429227,776706,Two zebras standing beside each other on the grass.
32544,220434,Two seated people are having a dicussion at an organization's meeting.
11707,677591,there is a small plane inside of a airplane hanger
422382,131134,A skateboard left on the beach in the sand.
103108,209351,A arm wearing a baseball mitt extending and holding an orange.
409454,751208,"This is what you call a brick oven, and this is what you call pizza!"
316542,8646,A group of men pose for a photo in front of a building. 
36091,302736,Spacious kitchen with a center island and stainless steel appliances. 
390175,293066,a giraffe running across the savanna and trees
17651,27164,Zebras eating hay on a platform in a zoo setting.
434765,116377,Some dogs are begging at a meat cart
15757,589400,A sandy beach area with water in the distance and people standing and sitting on the sand.
275591,498693,A bathroom equipped for the handicapped with a phone
407466,169247,A blue and yellow train on train tracks.
404351,244064,"A train on tracks with gravel, and trees, grass and telephone wires and two workers in background."
473159,415086,A kid with a tie in front of a building.
505418,789182,Some baked food on a plate with some fruits and vegetables.
351809,777293,A child and and a dog walking on steps with a dock in the background.
213448,192813,A train rolls through a scenic grassy landscape.
88780,281593,A picture of the outside of a dwelling. 
577762,497137,A group of desktop computers sitting on top of a desk.
356215,276831,"A bathroom with a toilet, window and tiled walls. "
490093,555993,A black and white photo of a man sitting on a bench in an art gallery.
196981,419099,A small child in a diaper looking at a book.
538832,683451,"A plate with eggs, bacon, shrimp, tomato and toast."
439402,649041,TWO MEN CHASING A FRISBEE IN A FIELD
376757,214471,People are getting off an airplane and boarding a shuttle.
11877,286925,A fighter jet is sitting on the run way.
158211,643550,A large clock rests on the side of a brick building.
467746,431428,A group of people with hats on standing in front of an airplane. 
75963,331980,A dog near a bone that is well decorated with a name.
455737,788831,A bathroom with a mirror over the commode an and a shower.
186525,436160,A man near a crowd is at a buffet. 
352484,714842,a white sink sitting next to a toilet.
419173,246737,Female tennis player in a purple uniform ready to play.
249644,425241,a white and gray cat and some carrots
294329,577290,A man on snow skis going down a hill.
118477,434674,A bowl is of cereal containing granola and raspberries sits on the counter.
548357,628639,There are three giraffes hanging near a tree in a area that is dirt and grass that is as green as a golf course.
243986,83225,people standing on the side of the road looking at displays of fruit
122916,478216,A young boy standing on a tennis court holding a racquet.
457843,483383,Various pictures of different stages of cooking from start to finish.
282994,262671,A hotel bed is left frumpled with only a laptop remaining.
124122,691494,Woman laying on a floor with a dog and a cat watching her.
495336,283346,a man wearing a yellow snow jacket and black snow pants snow boarding.
69625,546388,A man sleeping on a wooden bench next to a bag of luggage.
268899,372108,A person is playing with electronics on his desk.
365265,187392,A little girl playing with a pair of sunglasses and a sand pail.
427946,259962,young woman stuffing a pillow case on top of a bed
28988,332939,Two brown cows next to each other in a barn.
209188,554800,a person wearing a blue hoodie and backpack skiing down a hill 
266168,647653,A train station with parked with trains at dusk.
494706,280858,Two soldiers placing trays into a cleaning device.
219739,59366,There is a man playing tennis as a crowd and referee observe. 
20702,518165,a woman feeds a baby in a high chair 
308589,535053,"Two men stand next to their truck in an old black and white photo.
"
345053,249149,A person holding a tennis racket in front of some bushes and a fence.
153923,268350,"A pitcher, batter and umpire in a baseball game."
19320,686734,A man leans down as he prepares to hit the baseball.
179696,565921,This is a mixture of meat and cabbage with some ketchup in a bowl.
416190,374000,A man and woman sitting on a bed together
213113,696885,A refrigerator door opened with only a cooking pot in it.
91461,794420,A tall building with a point on the top of it with a clock on it.
438187,785715,A clock is sitting in the middle of the building reading five minutes to six o' clock. 
136129,165978,A person in a wheelchair walking a dog looking at a horse
518015,513296,A kitten falls asleep in a pair of loafers.
250124,48824,An office that looks cluttered and messy during the night.
464935,724332,A man in a full body wet suit that is surfing in choppy waves.
548548,332319,A man standing on a tennis court holding a racquet.
30203,826623,A man looks on as a woman places money in a parking meter. 
344597,490111,A person holds a Wii-mote while a dog sleeps in their lap.
264695,5066,A dog chasing a blue ball on the beach 
352082,202111,A black train engine on tracks next to buildings.
343307,29340,"a large crowd of people in a park, a good portion of them are flying kites."
116579,137008,A white bowl filled with vegetables sitting on a table.
572326,590240,a young boy wearing a yellow hat and holding a banana
130392,255495,Two airplanes on at a wet airport turmac.
515274,349621,The young boy is playing a game of baseball in the lot. 
449029,702865,a half blurred picture with cars parked on a road
41745,201825,A group of people sitting around each other holding a brown umbrella.
